ID,visa_type,visa_entry,US_consulate,major,status,check_date,complete_date,waiting_days,details
德锐捷,H1,New,GuangZhou,EE,Pending,2024-01-16,0000-00-00,724,detail
Moyi,F1,New,BeiJing,biomedical science,Clear,2024-01-16,2024-02-26,41,detail
Random1,H1,New,BeiJing,N/A,Clear,2024-01-16,2024-02-23,38,detail
好运好运,F1,Renewal,ShangHai,Chemistry,Clear,2024-01-16,2024-02-21,36,detail
12ff7c,J1,Renewal,Others,physics,Clear,2024-01-16,2024-02-08,23,detail
GuDeLaKe,H1,New,Vancouver,Mechanical Engineering,Clear,2024-01-16,2024-02-09,24,detail
Wheretogo,B1,New,Europe,Materials Science,Clear,2024-01-16,2024-02-22,37,detail
快下签,F1,Renewal,GuangZhou,Physics,Clear,2024-01-17,2024-02-15,29,detail
cheggit,F1,Renewal,GuangZhou,Software Engineering,Clear,2024-01-17,2024-02-21,35,detail
20211110,B2,Renewal,GuangZhou,Optics,Clear,2024-01-17,2024-02-21,35,detail
老checkee了,F1,New,GuangZhou,MBA,Clear,2024-01-17,2024-02-21,35,detail
求顺利,B2,Renewal,ShangHai,Finance,Clear,2024-01-17,2024-01-31,14,detail
坐不住啦！,F1,Renewal,Others,cs,Pending,2024-01-17,0000-00-00,723,detail
过过过,F1,Renewal,GuangZhou,CS,Clear,2024-01-18,2024-02-26,39,detail
aaxx,H1,New,BeiJing,ECE,Clear,2024-01-18,2024-02-16,29,detail
马上下签,J1,New,GuangZhou,genetics,Clear,2024-01-18,2024-02-26,39,detail
lup***@gmail.co,H1,New,BeiJing,Biotech,Pending,2024-01-18,0000-00-00,722,detail
望顺利,F1,Renewal,Vancouver,EECS,Clear,2024-01-18,2024-01-20,2,detail
hby3358,H1,New,Others,EE,Clear,2024-01-18,2024-01-19,1,detail
ExtraQ,B1,New,ShenYang,"Materials, Nanoscience",Clear,2024-01-18,2024-02-20,33,detail
求过吧,H1,New,ShenYang,Microbiology,Clear,2024-01-18,2024-04-11,84,detail
jackvisa,H1,New,BeiJing,Chemical engineering,Clear,2024-01-18,2024-02-23,36,detail
求好运下签,F1,Renewal,BeiJing,ECE,Pending,2024-01-18,0000-00-00,722,detail
glai-jhuang-che,H1,New,GuangZhou,CS,Clear,2024-01-19,2024-02-20,32,detail
wolverine,F1,Renewal,GuangZhou,Physics,Clear,2024-01-19,2024-03-05,46,detail
过,H1,New,ShangHai,CS,Clear,2024-01-19,2024-02-21,33,detail
未转移加油,F1,Renewal,BeiJing,Physics,Clear,2024-01-19,2024-02-21,33,detail
屌什么屌,B2,New,Others,Education,Pending,2024-01-19,0000-00-00,721,detail
hellcat,F1,Renewal,ShangHai,computer science,Clear,2024-01-19,2024-04-23,95,detail
Kaya,J1,Renewal,GuangZhou,Bioinformatics,Pending,2024-01-19,0000-00-00,721,detail
check,H1,Renewal,GuangZhou,EE CS,Clear,2024-01-19,2024-03-07,48,detail
MightyCheckee,H1,New,ShangHai,CS,Pending,2024-01-21,0000-00-00,719,detail
DB,F1,Renewal,Vancouver,CS,Clear,2024-01-22,2024-03-06,44,detail
Kop,H1,New,BeiJing,EE,Clear,2024-01-22,2024-02-20,29,detail
huangzesen,F1,Renewal,GuangZhou,Space Physics,Clear,2024-01-22,2024-02-20,29,detail
卑微本求签,B1,New,BeiJing,computer,Pending,2024-01-22,0000-00-00,718,detail
mmmmm,F1,Renewal,GuangZhou,Data,Clear,2024-01-22,2024-02-22,31,detail
AnthDrewer,F1,Renewal,GuangZhou,Oceanography,Clear,2024-01-22,2024-02-21,30,detail
guoguoguo,H4,New,GuangZhou,Analytics,Clear,2024-01-22,2024-04-22,91,detail
AA00CQGLAV,H1,New,BeiJing,N/A,Clear,2024-01-22,2024-05-09,108,detail
MarS,B1,Renewal,Europe,N/A,Pending,2024-01-22,0000-00-00,718,detail
krasus7,H1,New,BeiJing,CS,Pending,2024-01-23,0000-00-00,717,detail
ZL,H1,Renewal,BeiJing,EE,Clear,2024-01-23,2024-02-22,30,detail
qiuguoqian,H1,New,BeiJing,Software Engineer,Clear,2024-01-23,2024-02-23,31,detail
m2jean,H1,New,GuangZhou,CS,Clear,2024-01-23,2024-02-23,31,detail
Goodluck,F1,Renewal,GuangZhou,EE,Clear,2024-01-23,2024-02-22,30,detail
面签时说的,H1,New,Vancouver,EE,Pending,2024-01-23,0000-00-00,717,detail
NiuMaSDE,H1,New,BeiJing,CS,Clear,2024-01-23,2024-04-30,98,detail
DD1997,H1,New,GuangZhou,Operational Research,Clear,2024-01-24,2024-02-20,27,detail
bluebunnydaddy,B2,New,BeiJing,N/A,Clear,2024-01-24,2024-02-22,29,detail
吓死宝宝了,F1,Renewal,BeiJing,CS,Clear,2024-01-24,2024-02-28,35,detail
CR,J1,Renewal,ShenYang,Chemistry,Pending,2024-01-24,0000-00-00,716,detail
xwy695,F1,Renewal,ShangHai,chem,Clear,2024-01-25,2024-02-15,21,detail
行善积德�,H1,Renewal,GuangZhou,CS,Clear,2024-01-25,2024-02-29,35,detail
顺利出签！,B2,New,GuangZhou,Doctor,Clear,2024-01-25,2024-01-29,4,detail
一定过过过,B1,New,Others,Pharmacy,Clear,2024-01-25,2024-02-21,27,detail
zhphysics,F1,Renewal,GuangZhou,Physics,Clear,2024-01-26,2024-02-21,26,detail
Mandy,F1,Renewal,HongKong,Neuroscience,Clear,2024-01-26,2024-02-22,27,detail
taller,B1,Renewal,ShangHai,software engineer,Clear,2024-01-26,2024-02-23,28,detail
Check毛线,B2,Renewal,Ottawa,EE,Pending,2024-01-26,0000-00-00,714,detail
救救我的小,H1,New,Vancouver,CS,Clear,2024-01-26,2024-03-06,40,detail
????,F1,Renewal,Vancouver,Molecular Genetics,Clear,2024-01-26,2024-02-28,33,detail
Jo,F1,Renewal,ShangHai,Biology,Clear,2024-01-26,2024-03-04,38,detail
MSE,F1,Renewal,GuangZhou,Materials Science,Clear,2024-01-26,2024-03-19,53,detail
jack london,J1,New,GuangZhou,Biomaterials,Clear,2024-01-26,2024-02-23,28,detail
MEIFANCHI,J1,New,GuangZhou,Cell Biology,Pending,2024-01-26,0000-00-00,714,detail
Mushroom,F1,Renewal,GuangZhou,CS,Clear,2024-01-29,2024-02-23,25,detail
正星条旗也,H1,New,GuangZhou,Computer Science,Pending,2024-01-29,0000-00-00,711,detail
blessbless,H1,Renewal,BeiJing,HCI+Design,Clear,2024-01-29,2024-02-22,24,detail
求求下签我,H1,Renewal,Europe,Statistics,Clear,2024-01-29,2024-03-08,39,detail
AA00CR7HYZ,F1,Renewal,Others,Computer Science,Clear,2024-01-29,2024-03-01,32,detail
taidaii,H1,New,GuangZhou,CS,Clear,2024-01-29,2024-02-29,31,detail
fyc009,F1,Renewal,ShangHai,CS,Pending,2024-01-29,0000-00-00,711,detail
Link,F1,Renewal,BeiJing,Agricultural Engineering,Clear,2024-01-29,2024-02-27,29,detail
verooo,H1,New,BeiJing,Analytics,Clear,2024-01-29,2024-03-04,35,detail
zxu480,F1,Renewal,BeiJing,Computer Science,Clear,2024-01-29,2024-02-23,25,detail
求AP 求求了,H1,Renewal,BeiJing,Data Science,Clear,2024-01-29,2024-03-05,36,detail
AA00CE6MN1,B1,New,ShenYang,Bioinformatics,Pending,2024-01-29,0000-00-00,711,detail
JJ,B1,New,Europe,biology,Pending,2024-01-30,0000-00-00,710,detail
edydfang,B1,New,ShangHai,Computer Science,Clear,2024-01-30,2024-02-21,22,detail
hyh0819,H1,New,ShangHai,FPS,Clear,2024-01-30,2024-02-27,28,detail
AA00CVL3HT,B1,New,BeiJing,Computer Science,Clear,2024-01-30,2024-02-28,29,detail
yxyang1995,F1,Renewal,Vancouver,CS,Clear,2024-01-30,2024-02-27,28,detail
过年啦,H1,New,GuangZhou,Computer Science,Clear,2024-01-30,2024-02-28,29,detail
yty100,H1,New,Toronto,Chemistry,Clear,2024-01-30,2024-04-11,72,detail
zzzzzzz,F1,Renewal,BeiJing,Biostatistics,Clear,2024-01-30,2024-03-11,41,detail
Oahciel,H1,New,BeiJing,Cyber Security,Clear,2024-01-30,2024-05-22,113,detail
z1117,B2,New,BeiJing,MSE,Clear,2024-01-30,2024-03-21,51,detail
Xavier,F1,New,GuangZhou,Computer Science,Clear,2024-01-31,2024-01-31,0,detail
年后求出签,H1,Renewal,Europe,Aeronautics & Astronautic,Clear,2024-01-31,2024-03-07,36,detail
LewisLewis,H1,New,BeiJing,CS,Clear,2024-01-31,2024-03-14,43,detail
lucky`,H1,New,GuangZhou,CS,Clear,2024-01-31,2024-03-04,33,detail
check123,H1,Renewal,Vancouver,CS,Clear,2024-01-31,2024-02-27,27,detail
xxxxxx,H1,New,BeiJing,EE,Clear,2024-01-31,2024-03-01,30,detail
3177,H1,New,GuangZhou,MS Analytics + CS,Clear,2024-01-31,2024-03-15,44,detail
yhe3579,H1,Renewal,GuangZhou,Econ,Clear,2024-01-31,2024-03-15,44,detail
cwu235,F1,Renewal,Vancouver,Immunology,Pending,2024-02-01,0000-00-00,708,detail
求下签,H4,New,BeiJing,CS,Pending,2024-02-01,0000-00-00,708,detail
hhhhclear,H1,New,Vancouver,Molecular Engineering,Clear,2024-02-01,2024-02-26,25,detail
dou***@gmail.co,H1,Renewal,ShangHai,ECE,Clear,2024-02-01,2024-03-07,35,detail
??ing,B1,New,ShangHai,ee,Clear,2024-02-01,2024-03-20,48,detail
xmm60s,H1,New,ShenYang,ece,Clear,2024-02-01,2024-03-01,29,detail
come_on,B1,New,Others,EE,Clear,2024-02-01,2024-03-08,36,detail
冲,F1,Renewal,ShangHai,Computer Science,Pending,2024-02-01,0000-00-00,708,detail
HCI_Hawaii,B1,New,Others,Psychology + information,Clear,2024-02-01,2024-03-23,51,detail
J,J1,New,GuangZhou,Biology/Immunology,Clear,2024-02-01,2024-03-20,48,detail
求下签,H1,New,Vancouver,CS,Clear,2024-02-01,2024-06-17,137,detail
bear35,H1,Renewal,BeiJing,Information Management,Clear,2024-02-02,2024-03-08,35,detail
aabbb,H1,New,BeiJing,ME,Clear,2024-02-02,2024-02-29,27,detail
心里苦啊,F1,Renewal,GuangZhou,Imaging Science,Clear,2024-02-02,2024-03-06,33,detail
第二次check,B1,Renewal,BeiJing,EE,Clear,2024-02-02,2024-03-04,31,detail
lin***@illinois,H1,New,BeiJing,Computer Science,Clear,2024-02-02,2024-03-23,50,detail
神奇海螺,H1,New,GuangZhou,Computer Engineering,Clear,2024-02-02,2024-03-14,41,detail
MSE之耻,B2,New,ShangHai,materials science,Clear,2024-02-02,2024-03-08,35,detail
??99???,H1,New,Vancouver,Computer Science,Pending,2024-02-02,0000-00-00,707,detail
checkcheck,H1,New,GuangZhou,Physics,Clear,2024-02-02,2024-03-08,35,detail
过儿,B1,New,BeiJing,N/A,Pending,2024-02-02,0000-00-00,707,detail
ejjnhhe,H1,Renewal,BeiJing,EE,Clear,2024-02-02,2024-03-05,32,detail
SayTheName17,F1,Renewal,ShangHai,CS,Clear,2024-02-02,2024-03-06,33,detail
小王好慌张,J1,New,GuangZhou,Ecology,Pending,2024-02-02,0000-00-00,707,detail
daaahai,J1,New,BeiJing,psychology,Clear,2024-02-02,2024-12-10,312,detail
tony老师,J1,Renewal,ShangHai,CS & Biology,Clear,2024-02-05,2024-03-08,32,detail
难受,H1,New,BeiJing,Computer Science,Clear,2024-02-05,2024-03-04,28,detail
我有一个愿,F1,Renewal,GuangZhou,Physics STEM OPT,Clear,2024-02-05,2024-03-20,44,detail
求求快过吧,H1,Renewal,ShangHai,Biostat,Clear,2024-02-05,2024-03-01,25,detail
xiaowei,F1,Renewal,ShangHai,CS,Clear,2024-02-05,2024-02-28,23,detail
快点发签证,J1,New,GuangZhou,Biostatistics,Pending,2024-02-05,0000-00-00,704,detail
1111,H1,New,GuangZhou,N/A,Pending,2024-02-05,0000-00-00,704,detail
快快clear,H1,New,Vancouver,Computer Engineering,Clear,2024-02-05,2024-03-06,30,detail
xylll,L2,Renewal,BeiJing,CS,Clear,2024-02-06,2024-03-15,38,detail
plsplspls,H1,Renewal,ShenYang,N/A,Clear,2024-02-06,2024-03-08,31,detail
为啥要check�,H1,New,ShangHai,Biotech,Pending,2024-02-06,0000-00-00,703,detail
快点clear吧�,H1,New,ShenYang,Civil engineering,Clear,2024-02-06,2024-02-08,2,detail
mz,F1,New,BeiJing,Civil,Clear,2024-02-06,2024-02-06,0,detail
Luckluck,H1,Renewal,BeiJing,Human Resource,Clear,2024-02-06,2024-03-13,36,detail
Zion4more,B2,New,BeiJing,Chemical Engineering,Pending,2024-02-06,0000-00-00,703,detail
cl9312,H1,New,GuangZhou,Microbiology,Clear,2024-02-06,2024-03-07,30,detail
过签过签,F1,Renewal,GuangZhou,Computer Science,Clear,2024-02-06,2024-03-07,30,detail
lanlanzi,H1,New,ShangHai,biology,Pending,2024-02-06,0000-00-00,703,detail
谢谢小猫123,H1,Renewal,ShangHai,Computer Science,Clear,2024-02-06,2024-03-11,34,detail
早日下签！,H1,Renewal,GuangZhou,Industrial Engineering,Pending,2024-02-06,0000-00-00,703,detail
check留守儿�,H1,New,GuangZhou,ECE,Clear,2024-02-06,2024-03-21,44,detail
敏感三联炸,F1,Renewal,Others,Robotics,Clear,2024-02-06,2024-05-02,86,detail
美帝の走狗,B2,New,BeiJing,Computer Science,Clear,2024-02-07,2024-03-15,37,detail
又被check了,F1,Renewal,ShangHai,Optics,Clear,2024-02-07,2024-03-19,41,detail
Althea0710,H1,New,ShangHai,ECE,Clear,2024-02-07,2024-03-07,29,detail
求个速速签,F1,Renewal,ShangHai,Computer Science,Clear,2024-02-07,2024-03-07,29,detail
求下签,H1,New,GuangZhou,Chem E,Clear,2024-02-07,2024-03-19,41,detail
可可最棒,J1,New,Others,N/A,Clear,2024-02-07,2024-03-13,35,detail
DDCDDC,J1,New,GuangZhou,Biology,Clear,2024-02-07,2024-03-15,37,detail
j1iang,H1,New,GuangZhou,Material science,Clear,2024-02-07,2024-03-14,36,detail
Sandman,H1,New,BeiJing,Innovation with UX,Clear,2024-02-07,2024-11-01,268,detail
求下签！,J1,New,Europe,Chemical engineering,Reject,2024-02-08,2024-03-02,23,detail
zero,H1,New,GuangZhou,AE,Pending,2024-02-08,0000-00-00,701,detail
AA00CUA7S9,F1,New,ShenYang,computer science,Clear,2024-02-08,2024-03-25,46,detail
lalalalalla,H1,New,BeiJing,CS,Clear,2024-02-09,2024-03-14,34,detail
我就想回趟,H1,Renewal,Ottawa,Computer Science,Clear,2024-02-09,2024-04-11,62,detail
克迭,B1,New,BeiJing,CS,Pending,2024-02-11,0000-00-00,698,detail
???,H1,Renewal,Others,Economics,Pending,2024-02-12,0000-00-00,697,detail
求下签,H1,New,Europe,Mechanical Engineering,Clear,2024-02-12,2024-03-26,43,detail
倒血霉,H1,Renewal,Ottawa,CS,Clear,2024-02-12,2024-04-09,57,detail
H1B New,H1,New,Ottawa,ME Robotics,Clear,2024-02-13,2024-03-21,37,detail
QAQ,H1,Renewal,Europe,Computer Science,Clear,2024-02-13,2024-03-27,43,detail
快下签,H1,New,Vancouver,cs,Clear,2024-02-14,2024-03-21,36,detail
????,H1,New,Vancouver,Chemical Engineering,Clear,2024-02-15,2024-03-25,39,detail
damienshen3030,H1,New,BeiJing,Computer Science,Clear,2024-02-15,2024-03-12,26,detail
wwywilma,J1,New,ShenYang,clinical medicine,Pending,2024-02-15,0000-00-00,694,detail
求好运,L1,New,Toronto,CS,Clear,2024-02-15,2024-04-16,61,detail
Checkeeeebabe,H1,New,Europe,Business Analytics,Clear,2024-02-15,2024-03-19,33,detail
Heheha,F1,Renewal,ShangHai,computer science,Pending,2024-02-15,0000-00-00,694,detail
Leeeeee,H1,New,GuangZhou,MBA,Pending,2024-02-16,0000-00-00,693,detail
sdhandsome,H1,New,ShangHai,Computer Science,Clear,2024-02-16,2024-03-22,35,detail
刀刀刀,B1,Renewal,BeiJing,Electrical Engineering,Pending,2024-02-16,0000-00-00,693,detail
mimr22,F1,Renewal,Others,N/A,Pending,2024-02-17,0000-00-00,692,detail
?approve,H1,New,ShangHai,CS,Pending,2024-02-20,0000-00-00,689,detail
JeremiahG,H1,Renewal,BeiJing,Physics,Clear,2024-02-20,2024-03-21,30,detail
fusvisa,B1,New,Others,Chemical Engineering,Clear,2024-02-20,2024-03-14,23,detail
AA00CT9HVT,L1,New,Others,N/A,Pending,2024-02-21,0000-00-00,688,detail
homotopy,F1,Renewal,BeiJing,Applied Physics,Clear,2024-02-21,2024-03-14,22,detail
猪咪镇的阿,B1,New,ShangHai,organic chemistry,Clear,2024-02-22,2024-03-22,29,detail
qiuqiule,F1,Renewal,Vancouver,N/A,Clear,2024-02-22,2024-03-22,29,detail
miaoligemiao,H4,New,BeiJing,Business English,Clear,2024-02-22,2024-02-27,5,detail
xiaolang,F1,Renewal,GuangZhou,Biomedical Sciences,Clear,2024-02-22,2024-03-15,22,detail
first_check,H1,Renewal,Toronto,Mathematics,Clear,2024-02-22,2024-04-17,55,detail
Shawn_Wang,F1,New,ShangHai,Computer Engineering,Pending,2024-02-23,0000-00-00,686,detail
Check_Me_Check_,B2,New,BeiJing,N/A,Clear,2024-02-23,2024-04-01,38,detail
JHIssue,B1,New,ShenYang,ECE,Clear,2024-02-23,2024-03-22,28,detail
Shane的美签�,B1,New,BeiJing,CS 10043,Clear,2024-02-23,2024-05-10,77,detail
2024幸运一�,L1,New,Toronto,Computer Science,Clear,2024-02-26,2024-04-19,53,detail
279862859,J1,New,Europe,Neuroscience,Clear,2024-02-26,2024-04-19,53,detail
快过快过che,B2,New,ShangHai,Computer Science,Clear,2024-02-26,2024-03-18,21,detail
老玉米,F1,Renewal,BeiJing,Bioengineering,Pending,2024-02-26,0000-00-00,683,detail
老鸭cha,F1,Renewal,BeiJing,Neuroscience,Clear,2024-02-26,2024-03-21,24,detail
百特,H4,Renewal,GuangZhou,cs,Clear,2024-02-26,2024-03-29,32,detail
ssaichixbg,H4,New,GuangZhou,ME,Pending,2024-02-27,0000-00-00,682,detail
手术恢复顺,F1,Renewal,ShangHai,Computer Science,Clear,2024-02-27,2024-03-30,32,detail
fish1330,F1,New,Toronto,CSSE,Clear,2024-02-27,2024-04-10,43,detail
dianaviolet,H1,Renewal,GuangZhou,Mathematics and Economics,Pending,2024-02-27,0000-00-00,682,detail
checkee_0227,L1,New,BeiJing,N/A,Clear,2024-02-27,2024-03-27,29,detail
求快下签~~,H1,New,GuangZhou,MS Analytics,Pending,2024-02-28,0000-00-00,681,detail
求快下签~~,H1,New,GuangZhou,MS Analytics,Clear,2024-02-28,2024-03-01,2,detail
abcde,B1,New,Europe,Biology,Clear,2024-02-28,2024-03-25,26,detail
scottman,B1,New,Toronto,Materials Engineering,Clear,2024-02-28,2024-04-03,35,detail
反正我不急,F1,New,Others,System,Clear,2024-02-28,2024-04-08,40,detail
prayh1b,H1,Renewal,GuangZhou,N/A,Pending,2024-02-28,0000-00-00,681,detail
FARMIGA,B2,Renewal,BeiJing,pharmacolgy,Clear,2024-02-28,2024-05-06,68,detail
new_check,J1,New,BeiJing,Ecology,Clear,2024-02-29,2024-03-12,12,detail
beckysx,F1,Renewal,GuangZhou,CS OPT First Year,Clear,2024-02-29,2024-04-02,33,detail
Yilaguan,B1,New,Vancouver,CS,Clear,2024-02-29,2024-03-26,26,detail
求放过,H1,Renewal,GuangZhou,Machine Learning and Data,Clear,2024-02-29,2024-03-22,22,detail
yun求过签,H1,New,BeiJing,Chemistry,Clear,2024-02-29,2024-04-05,36,detail
Falardeau,H1,New,Toronto,Materials,Clear,2024-02-29,2024-05-02,63,detail
Fffff,F1,New,BeiJing,N/A,Pending,2024-02-29,0000-00-00,680,detail
wtt,B1,New,BeiJing,optics,Clear,2024-02-29,2024-04-05,36,detail
SH0229,B2,New,ShangHai,Bio,Clear,2024-02-29,2024-04-15,46,detail
